candidate,organization,type,total_raised
KAMALA HARRIS (D),Harris for President,Campaign,"$1,003,158,590"
KAMALA HARRIS (D),Future Forward USA,Carey,"$557,603,518"
DONALD TRUMP (R),Make America Great Again Inc,SuperPAC,"$409,509,931"
DONALD TRUMP (R),Donald J Trump for President 2024,Campaign,"$381,537,980"
DONALD TRUMP (R),America PAC (Texas),SuperPAC,"$251,971,988"
DONALD TRUMP (R),Preserve America PAC,SuperPAC,"$114,790,272"
KAMALA HARRIS (D),American Bridge 21st Century,Carey,"$94,730,371"
DONALD TRUMP (R),Save America,Leadership PAC,"$91,697,715"
DONALD TRUMP (R),Right for America,SuperPAC,"$72,365,627"
ROBERT F KENNEDY JR. (I),Team Kennedy,Campaign,"$60,674,572"
ROBERT F KENNEDY JR. (I),American Values 2024,Carey,"$50,942,628"
DONALD TRUMP (R),Turnout for America,SuperPAC,"$45,662,613"
KAMALA HARRIS (D),Forward Majority Action,SuperPAC,"$37,781,419"
DONALD TRUMP (R),Duty to America PAC,SuperPAC,"$23,640,000"
KAMALA HARRIS (D),The Lincoln Project,Carey,"$23,438,924"
DONALD TRUMP (R),RBG PAC,SuperPAC,"$20,500,000"
DONALD TRUMP (R),Make America Great Again PAC,Leadership PAC,"$17,175,014"
DONALD TRUMP (R),SAG PAC,SuperPAC,"$16,907,482"
KAMALA HARRIS (D),Democratic Victory PAC,Carey,"$10,508,227"
KAMALA HARRIS (D),Priorities USA Action,Carey,"$10,469,886"
KAMALA HARRIS (D),Voters of These 50 States of America,SuperPAC,"$10,238,679"
KAMALA HARRIS (D),LIUNA Political Fund,SuperPAC,"$10,003,000"
DONALD TRUMP (R),Maha Alliance,SuperPAC,"$8,403,671"
KAMALA HARRIS (D),NextGen Climate Action,Carey,"$7,255,798"
KAMALA HARRIS (D),Democratic Power Inc,Carey,"$7,084,730"
KAMALA HARRIS (D),Unite the Country,SuperPAC,"$7,045,085"
KAMALA HARRIS (D),Civic Truth Action,SuperPAC,"$6,380,000"
