dime.cid,corp.person.id,ticker,corp.name,last.name,first.name,middle.name,age,gender,ceo,chairman,privatefirm,sector,industry,dime.cfscore,total,num.conts,self.funded,total.dem,total.rep,pct.to.dems,total.2002,total.2004,total.2006,total.2008,total.2010,total.2012,to.incumbs,to.open.seat,to.challs,to.winner,to.losers
3950990771,548428,A,Agilent Technologies,clark,paul,n,65,M,0,0,0,Technology,Electronic Instr. and Controls,1.080919709,46976,9,0,0,18541,0,0,8641,0,15000,0,0,0,9600,0,0,0
3247157790,652783,A,Agilent Technologies,yamada,tadataka,,66,M,0,0,0,Technology,Electronic Instr. and Controls,0.318729392,9250,6,0,2000,7250,0.216,0,3000,4000,0,0,0,6000,0,0,4000,2000
3027018565,598067,A,Agilent Technologies,cullen,james,g,69,M,0,1,0,Technology,Electronic Instr. and Controls,-0.013854856,78150,53,0,24300,24550,0.497,3000,0,0,0,0,0,26300,8300,8250,17300,7550
4598973803,612576,A,Agilent Technologies,lawrence,david,mckinnon,73,M,0,0,0,Technology,Electronic Instr. and Controls,-0.720384939,26205,37,0,16755,4250,0.798,750,4250,805,3350,8050,3750,9900,4150,3000,7400,1500
5341881827,181606,A,Agilent Technologies,herbold,robert,j,69,M,0,0,0,Technology,Electronic Instr. and Controls,0.942778127,133375,78,0,1550,49875,0.03,28350,11825,0,0,2900,30200,17600,2000,11650,11700,11300
54162378369,274271,A,Agilent Technologies,fields,heidi,kunz,57,F,0,0,0,Technology,Electronic Instr. and Controls,NA,12853.9,0,0,0,0,NA,0,0,0,0,5563.94,7289.96,0,0,0,0,0
2443755518,219953,A,Agilent Technologies,rand,addison,barry,67,M,0,0,0,Technology,Electronic Instr. and Controls,-0.953732022,34850,10,0,20350,0,1,22000,2500,2000,7300,50,0,2000,7300,0,1000,1000
-1,238895,A,Agilent Technologies,sullivan,william,,62,M,1,0,0,Technology,Electronic Instr. and Controls,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
-1,8678558,A,Agilent Technologies,koh,boon,,62,M,0,0,0,Technology,Electronic Instr. and Controls,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
26268368951,5504710,AA,Alcoa Inc,Kleinfeld,klaus-christian,,55,M,1,1,0,Basic Materials,Metal Mining,NA,12083.22,0,0,0,0,NA,0,0,0,0,0,9999.92,0,0,0,0,0
55462857730,546322,AA,Alcoa Inc,gueron,judith,m,70,F,0,0,0,Basic Materials,Metal Mining,-1.469266155,15985.35,40,0,12035.35,0,1,0,1150,400,5585.35,650,7700,4000,4204.45,1850,950,900
4283479981,259468,AA,Alcoa Inc,owens,james,w,66,M,0,0,0,Basic Materials,Metal Mining,1.032937634,198796,182,0,0,117116,0,1500,10500,10950,43650,61665,54881,28200,36340,55765,56165,18250
54118326746,210414,AA,Alcoa Inc,russo,patricia,f,59,F,0,0,0,Basic Materials,Metal Mining,0.872756122,27645,20,0,1000,22020,0.043,0,3375,7150,8350,5020,2750,8150,0,3500,5150,1000
52854941307,1448439,AA,Alcoa Inc,fuller,kathryn,s,65,F,0,0,0,Basic Materials,Metal Mining,-0.999442429,3450,11,0,2700,250,0.915,0,1000,500,450,0,750,750,450,1500,500,500
2519787303,182143,AA,Alcoa Inc,oneal,e,stanley,60,M,0,0,0,Basic Materials,Metal Mining,-0.358556955,14800,9,0,9800,3000,0.766,2000,7000,3000,2300,0,0,5500,3300,2000,2500,2000
4096316513,292527,AA,Alcoa Inc,morris,michael,g,64,M,0,0,0,Basic Materials,Metal Mining,0.333079778,986861.08,629,0,156728,287980,0.352,25842.26,35776.04,70500.84,121193.84,456430.52,232358.58,152926,41278,64358,116850,50050
2306648630,181855,AA,Alcoa Inc,collins,arthur,d,64,M,0,0,0,Basic Materials,Metal Mining,0.599956407,57250,23,0,3250,14500,0.183,11750,18250,19000,3000,0,0,6000,4250,3000,2000,6250
-1,312552,AA,Alcoa Inc,sorrell,martin,,67,M,0,0,0,Basic Materials,Metal Mining,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
-1,1148781,AA,Alcoa Inc,de,ernesto,,60,M,0,0,0,Basic Materials,Metal Mining,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
-1,3734075,AA,Alcoa Inc,tata,ratan,,75,M,0,0,0,Basic Materials,Metal Mining,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
4630040055,168573,AAMRQ,AMR Corp ,horton,thomas,w,50,M,1,1,0,Services,Transportation (Airlines),-0.116301197,130877.35,16,0,7250,2500,0.744,5480.82,9130,12726,11734,20601.63,56743.75,9250,500,15000,7750,1000
4625034651,659721,AAMRQ,AMR Corp ,bachmann,john,w,73,M,0,0,0,Services,Transportation (Airlines),0.456975825,299306.75,205,0,53235,161471.75,0.248,24150,48840,58200,25700,27131.75,29350,122485,32281.75,31600,114416.75,28850
2643862968,126922,AAMRQ,AMR Corp ,miles,michael,a,72,M,0,0,0,Services,Transportation (Airlines),0.888101707,1250,2,0,0,1250,0,0,0,0,0,0,0,1250,0,0,1250,0
4110316415,559316,AAMRQ,AMR Corp ,staubach,roger,t,70,M,0,0,0,Services,Transportation (Airlines),1.015044953,348163.84,131,0,1500,286775,0.005,32562,16500,9100,151500,43326.84,33850,65726.84,72875,15000,46950,23600
4622031825,544927,AAMRQ,AMR Corp ,codina,armando,m,65,M,0,0,0,Services,Transportation (Airlines),0.596155617,609849,136,0,8999,357000,0.025,32500,38000,63600,126200,30300,231500,103899,20300,65150,105599,20950
54130331156,592190,AAMRQ,AMR Corp ,korologos,ann,mclaughlin,70,F,0,0,0,Services,Transportation (Airlines),0.791560118,89550,52,0,3500,73550,0.045,18800,5000,2500,39000,12500,11750,15300,23350,10750,12500,9550
53284168252,545313,AAMRQ,AMR Corp ,rodin,judith,,67,F,0,0,0,Services,Transportation (Airlines),-0.629281149,4000,7,0,3500,500,0.875,1500,2500,0,0,0,0,2000,1000,500,2500,0
5533342610,601807,AAMRQ,AMR Corp ,purcell,philip,j,69,M,0,0,0,Services,Transportation (Airlines),0.567559716,512928.16,154,0,35250,425228,0.077,10172.96,48615.6,45361.6,24800,163528,150000,162928,41750,46800,159828,61150
4621030933,257202,AAMRQ,AMR Corp ,rose,matthew,k,52,M,0,0,0,Services,Transportation (Airlines),0.734770833,461224.07,130,0,32500,261444.97,0.111,14361.28,31735.84,67883.92,98175.91,111675.43,125541.73,136471.98,30117,20950,113145.4,27100
4773187986,551914,AAMRQ,AMR Corp ,robinson,ray,m,64,M,0,0,0,Services,Transportation (Airlines),-0.659406865,15900,17,0,15900,0,1,9300,3000,0,2300,0,0,0,6300,2000,1000,3000
3750291420,4074181,AAMRQ,AMR Corp ,Ibarguen,alberto,,68,M,0,0,0,Services,Transportation (Airlines),-1.542100805,2750,4,0,2350,0,1,0,0,0,2300,50,100,0,2350,300,0,350
2323656582,132129,AAMRQ,AMR Corp,Bennett,stephen,M,57,M,0,0,0,Services,Transportation (Airlines),-0.363434415,172600,93,0,61900,47550,0.566,15300,18650,62050,23600,13500,21500,58350,3450,3400,41550,9250
2386692544,182939,AAP,Advance Auto parts,jackson,darren,r,47,M,1,0,0,Services,Retail (Specialty),0.966698693,4560,1,0,0,1000,0,0,120,2920,1520,0,0,0,0,0,0,0
4636045112,1084805,AAP,Advance Auto parts,saladrigas,carlos,a,63,M,0,1,0,Services,Retail (Specialty),-0.245222492,603950,171,0,260750,143500,0.645,39000,83250,47400,157450,80300,138500,104300,65350,57100,57900,39200
2710880119,141374,AAP,Advance Auto parts,wade,jimmie,l,57,M,0,0,0,Services,Retail (Specialty),0.955153333,6550,9,0,0,3050,0,0,2000,0,300,500,3750,2750,0,2000,750,0
4636045564,9979475,AAP,Advance Auto parts,brouillard,john,c,63,M,0,1,0,Services,Retail (Specialty),0.862998569,21975,287,0,3625,8455,0.3,2225,2385,2445,2540,NA,NA,5290,1140,2300,4910,1415
5301888979,565914,AAP,Advance Auto parts,ray,gilbert,t,67,M,0,0,0,Services,Retail (Specialty),-0.919676644,10860,16,0,9250,0,1,0,500,1500,1000,0,0,3250,2000,3000,1750,500
4198399792,13154863,AAP,Advance Auto parts,oglesby,william,s,52,M,0,0,0,Services,Retail (Specialty),0.968636902,157350,49,0,8300,53050,0.135,7000,2000,250,18700,24400,103000,24200,9300,46500,21100,18600
2922986459,13396973,AAP,Advance Auto parts,raines,j,paul,47,M,0,0,0,Services,Retail (Specialty),0.475516352,3500,1,0,0,500,0,0,500,2500,500,0,0,0,0,0,0,0
4980349145,552205,AAP,Advance Auto parts,bergstrom,john,f,65,M,0,0,0,Services,Retail (Specialty),0.529767743,92212.19,173,0,22250,46987.19,0.321,11332.19,3050,16000,16250,13200,14300,4720,5450,2950,350,6700
52425743344,1470322,AAP,Advance Auto parts,dias,fiona,p,46,F,0,0,0,Services,Retail (Specialty),NA,2000,1,0,0,0,NA,1000,0,0,1000,0,0,0,1000,0,0,0
53035016054,82843051,AAP,Advance Auto parts,frei,frances,x,48,F,0,0,0,Services,Retail (Specialty),-1.079280753,7050,16,0,6550,0,1,0,4100,0,2350,100,500,2100,2450,0,2100,100
4028281593,234085,AAPL,Apple Inc,levinson,arthur,d,62,M,0,1,0,Technology,Computer Hardware,-0.920232834,183941.45,140,1,69695,2000,0.972,20639.57,24150.84,10761.58,32538.84,6118.62,21185,20950,18110,17645,15660,7805
2410716163,169600,AAPL,Apple Inc,cook,timothy,d,51,M,1,0,0,Technology,Computer Hardware,-1.561610034,2300,2,0,2300,0,1,0,0,0,2300,0,0,0,2300,0,0,0
4199401905,132127,AAPL,Apple Inc,campbell,william,v,71,M,0,0,0,Technology,Computer Hardware,-0.401499618,218364,51,0,90364,38700,0.7,2000,4000,32300,53264,47100,70700,58300,6132,3332,57076,8388
53202120218,253136,AAPL,Apple Inc,jung,andrea,,53,F,0,0,0,Technology,Computer Hardware,-1.042165433,103950,8,0,92100,0,1,1500,2000,0,90100,0,1000,0,34100,1000,2000,0
2611826423,285767,AAPL,Apple Inc,sugar,ronald,d,63,M,0,0,0,Technology,Computer Hardware,-0.127294163,94524.7,37,0,26600,12750,0.676,1000,9000,31638.55,31991.45,16544.7,0,28750,5600,0,25850,4000
5171790064,274269,AAPL,Apple Inc,drexler,millard,s,67,M,0,0,0,Technology,Computer Hardware,-0.911205842,617550,211,0,473800,5000,0.99,37250,75000,61700,103200,109800,74600,93850,40700,24300,103800,19400
3159114517,1341924,AAPL,Apple Inc,gore,albert,arnold,64,M,0,0,0,Technology,Computer Hardware,-0.76815941,85127.5,46,0,155047.5,1000,0.994,0,4500,11994.5,12665,23440,15310,11550,8518,14915,19150,9615
2685865683,191572,AAPL,Apple Inc,iger,robert,a,61,M,0,0,0,Technology,Computer Hardware,-0.65474749,511660,131,0,383600,22300,0.945,24000,41500,52300,76360,127700,161800,178700,10000,1000,114300,11300
3739277838,667434,ABC,Amerisourcebergen Corp,Gozon,richard,C,73,M,0,1,0,Healthcare,Biotechnology and Drugs,0.852009653,24250,3,0,0,2000,0,250,0,0,0,0,0,1250,1000,0,0,1000
5724204318,683886,ABC,Amerisourcebergen Corp,Collis,steven,H,50,M,1,0,0,Healthcare,Biotechnology and Drugs,0.478437398,72990.7,18,0,3667,10750,0.254,1000,0,14845.1,13365,17498.7,23358.9,16417,0,0,11417,1500
4138337545,738147,ABC,Amerisourcebergen Corp,Hagenlocker,edward,E,72,M,0,0,0,Healthcare,Biotechnology and Drugs,0.858245366,84800,87,0,4200,51600,0.075,2000,7000,2000,8100,2500,27500,11500,10350,17500,4750,6000
3733271898,189098,ABC,Amerisourcebergen Corp,Cotros,charles,H,74,M,0,0,0,Healthcare,Biotechnology and Drugs,0.940907843,21000,1,0,0,0,NA,0,0,0,0,0,0,0,0,1000,0,0
53099043337,1506755,ABC,Amerisourcebergen Corp,Henney,jane,E,64,F,0,0,0,Healthcare,Biotechnology and Drugs,-1.117342169,1200,5,0,1200,0,1,0,0,0,850,0,0,0,0,850,0,850
54714114496,512338,ABC,Amerisourcebergen Corp,Hyle,kathleen,W,53,F,0,0,0,Healthcare,Biotechnology and Drugs,0.105671503,28538.71,11,0,1500,4250,0.261,0,281.48,2180.69,1507.28,14569.26,10000,1500,500,0,1000,1000
4018267534,12619751,ABC,Amerisourcebergen Corp,McGee,henry,W,58,M,0,0,0,Healthcare,Biotechnology and Drugs,-0.987687156,71092.62,35,0,57792.62,0,1,2000,1500,3400,40992.6,9300.02,11000,13500.02,25600,2000,3166.67,2333.35
3521206856,164049,ABC,Amerisourcebergen Corp,Gochnauer,richard,W,62,M,0,0,0,Healthcare,Biotechnology and Drugs,0.513176501,1500,2,0,500,1000,0.333,0,0,0,0,500,0,0,1500,0,0,500
-1,252180,ABC,Amerisourcebergen Corp,Long,michael,,53,M,0,0,0,Healthcare,Biotechnology and Drugs,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
